Timestamp,eth0_rx_MBps,eth0_tx_MBps,eth2_rx_MBps,eth2_tx_MBps,eth3_rx_MBps,eth3_tx_MBps,eth4_rx_MBps,eth4_tx_MBps,eth5_rx_MBps,eth5_tx_MBps
2026-04-16 18:33:39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-04-16 18:33:41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-04-16 18:33:42,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-04-16 18:33:43,0.00,0.00,111.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-04-16 18:33:44,0.00,0.00,84.45,0.11,69.89,0.00,0.00,0.00,113.87,0.00
2026-04-16 18:33:45,0.00,0.00,83.77,0.12,118.89,0.00,0.00,0.00,122.22,0.00
2026-04-16 18:33:47,0.00,0.00,84.90,0.12,124.16,0.00,0.00,0.00,121.18,0.00
2026-04-16 18:33:48,0.00,0.00,103.08,0.15,166.62,0.00,155.32,0.00,178.60,0.01
2026-04-16 18:33:50,42.87,0.00,136.29,0.19,125.17,0.07,179.74,0.00,121.13,0.08
2026-04-16 18:33:52,58.75,0.00,140.88,0.18,96.77,0.06,132.92,0.00,87.26,0.06
2026-04-16 18:33:53,39.89,0.00,92.31,0.13,79.22,0.05,117.61,0.00,78.41,0.05
2026-04-16 18:33:54,39.89,0.00,101.39,0.13,85.50,0.05,124.44,0.00,86.31,0.06
2026-04-16 18:33:55,38.89,0.00,102.87,0.14,84.11,0.06,125.24,0.00,84.05,0.06
2026-04-16 18:33:57,43.63,0.00,103.37,0.14,85.13,0.05,125.90,0.00,83.31,0.05
2026-04-16 18:33:58,39.67,0.00,114.27,0.16,106.00,0.07,170.75,0.00,131.16,0.09
2026-04-16 18:34:00,63.43,0.00,143.96,0.19,110.34,0.07,147.31,0.00,84.07,0.05
2026-04-16 18:34:01,39.89,0.00,108.56,0.15,89.78,0.06,132.24,0.00,87.96,0.06
2026-04-16 18:34:02,44.47,0.00,109.24,0.15,92.47,0.06,137.95,0.00,91.66,0.06
2026-04-16 18:34:04,46.41,0.00,118.04,0.15,97.62,0.06,147.93,0.00,106.06,0.07
2026-04-16 18:34:05,49.18,0.00,116.13,0.16,93.08,0.06,129.47,0.00,83.10,0.05
2026-04-16 18:34:07,39.18,0.00,97.95,0.13,83.52,0.05,123.84,0.00,84.76,0.06
2026-04-16 18:34:08,41.59,0.00,106.34,0.15,96.46,0.06,173.44,0.00,133.29,0.09
2026-04-16 18:34:10,63.17,0.00,155.22,0.21,120.11,0.07,142.28,0.00,79.81,0.05
2026-04-16 18:34:11,39.71,0.00,106.23,0.14,83.87,0.05,127.34,0.00,83.38,0.06
2026-04-16 18:34:12,37.90,0.00,93.71,0.13,79.87,0.05,118.29,0.00,80.01,0.05
2026-04-16 18:34:14,41.60,0.00,110.08,0.14,93.90,0.05,142.62,0.00,99.74,0.07
2026-04-16 18:34:15,48.01,0.00,117.02,0.16,93.96,0.06,128.63,0.00,85.85,0.06
2026-04-16 18:34:16,43.96,0.00,142.77,0.20,136.49,0.10,245.16,0.00,175.81,0.12
2026-04-16 18:34:19,81.29,0.00,172.16,0.23,123.83,0.07,141.49,0.00,82.41,0.05
2026-04-16 18:34:20,37.99,0.00,94.88,0.13,79.46,0.05,117.04,0.00,78.46,0.05
2026-04-16 18:34:21,39.80,0.00,101.61,0.14,85.94,0.06,126.12,0.00,86.45,0.06
2026-04-16 18:34:23,38.89,0.00,96.53,0.13,80.85,0.05,118.55,0.00,79.28,0.05
2026-04-16 18:34:24,37.90,0.00,96.24,0.13,79.98,0.05,126.27,0.00,96.47,0.07
2026-04-16 18:34:25,48.46,0.00,127.53,0.17,107.03,0.07,150.29,0.00,100.43,0.07
2026-04-16 18:34:27,53.87,0.00,132.94,0.18,110.62,0.07,158.01,0.00,104.74,0.07
2026-04-16 18:34:29,46.11,0.00,114.65,0.16,94.21,0.06,138.46,0.00,87.51,0.06
2026-04-16 18:34:30,38.35,0.00,97.03,0.13,79.69,0.05,117.51,0.00,79.19,0.05
2026-04-16 18:34:31,40.13,0.00,101.98,0.13,81.58,0.05,120.57,0.00,80.81,0.05
2026-04-16 18:34:32,40.38,0.00,110.44,0.15,92.81,0.06,137.49,0.00,92.33,0.06
2026-04-16 18:34:34,43.66,0.00,107.40,0.15,87.52,0.06,129.28,0.00,90.71,0.06
2026-04-16 18:34:35,50.63,0.00,158.14,0.22,143.87,0.10,222.08,0.00,144.92,0.10
2026-04-16 18:34:37,62.54,0.00,122.22,0.17,102.07,0.07,152.65,0.00,99.20,0.07
2026-04-16 18:34:39,46.84,0.00,106.59,0.14,83.25,0.05,117.46,0.00,78.02,0.05
2026-04-16 18:34:40,38.18,0.00,94.24,0.13,79.09,0.05,116.42,0.00,79.08,0.05
2026-04-16 18:34:41,40.42,0.00,100.86,0.14,92.94,0.06,139.48,0.00,92.94,0.06
2026-04-16 18:34:43,42.68,0.00,105.78,0.14,79.23,0.05,116.81,0.00,78.06,0.05
2026-04-16 18:34:44,40.25,0.00,104.64,0.14,87.83,0.06,146.72,0.00,126.21,0.09
2026-04-16 18:34:46,69.49,0.00,168.62,0.23,149.41,0.10,200.83,0.00,109.19,0.07
2026-04-16 18:34:47,44.94,0.00,113.18,0.15,90.58,0.06,133.43,0.00,90.08,0.06
2026-04-16 18:34:49,41.96,0.00,97.74,0.13,80.87,0.05,119.85,0.00,79.53,0.05
2026-04-16 18:34:50,37.81,0.00,94.70,0.13,78.64,0.05,115.78,0.00,77.79,0.05
2026-04-16 18:34:51,38.01,0.00,94.91,0.13,79.80,0.05,116.84,0.00,79.53,0.05
2026-04-16 18:34:52,38.51,0.00,100.31,0.13,82.27,0.05,121.38,0.00,82.31,0.05
2026-04-16 18:34:53,41.42,0.00,120.09,0.17,112.04,0.07,196.71,0.00,143.84,0.10
