CPU001,CPU 1 ubuntu2004,User%,Sys%,Wait%,Idle%,Steal%
CPU001,T0001,9.4,14.8,0.0,75.8,0.0
CPU001,T0002,2.0,4.0,0.0,94.1,0.0
CPU001,T0003,0.0,4.1,0.0,95.9,0.0
CPU001,T0004,2.0,8.0,0.0,90.0,0.0
CPU001,T0005,3.2,87.4,0.0,9.5,0.0
CPU001,T0006,2.0,94.9,0.0,3.1,0.0
CPU001,T0007,1.0,96.9,0.0,2.0,0.0
CPU001,T0008,1.0,95.0,0.0,4.0,0.0
CPU001,T0009,0.0,100.0,0.0,0.0,0.0
CPU001,T0010,0.0,100.0,0.0,0.0,0.0
CPU001,T0011,0.0,100.0,0.0,0.0,0.0
CPU001,T0012,0.0,100.0,0.0,0.0,0.0
CPU001,T0013,0.0,100.0,0.0,0.0,0.0
CPU001,T0014,0.0,100.0,0.0,0.0,0.0
CPU001,T0015,0.0,100.0,0.0,0.0,0.0
CPU001,T0016,0.0,100.0,0.0,0.0,0.0
CPU001,T0017,0.0,100.0,0.0,0.0,0.0
CPU001,T0018,0.0,100.0,0.0,0.0,0.0
CPU001,T0019,0.0,100.0,0.0,0.0,0.0
CPU001,T0020,1.0,99.0,0.0,0.0,0.0
CPU001,T0021,0.0,100.0,0.0,0.0,0.0
CPU001,T0022,0.0,100.0,0.0,0.0,0.0
CPU001,T0023,0.0,100.0,0.0,0.0,0.0
CPU001,T0024,0.0,100.0,0.0,0.0,0.0
CPU001,T0025,0.0,100.0,0.0,0.0,0.0
CPU001,T0026,0.0,100.0,0.0,0.0,0.0
CPU001,T0027,0.0,100.0,0.0,0.0,0.0
CPU001,T0028,0.0,100.0,0.0,0.0,0.0
CPU001,T0029,0.0,100.0,0.0,0.0,0.0
CPU001,T0030,1.0,99.0,0.0,0.0,0.0
CPU001,T0031,0.0,100.0,0.0,0.0,0.0
CPU001,T0032,0.0,100.0,0.0,0.0,0.0
CPU001,T0033,0.0,100.0,0.0,0.0,0.0
CPU001,T0034,0.0,100.0,0.0,0.0,0.0
CPU001,T0035,0.0,100.0,0.0,0.0,0.0
CPU001,T0036,0.0,100.0,0.0,0.0,0.0
CPU001,T0037,0.0,100.0,0.0,0.0,0.0
CPU001,T0038,0.0,100.0,0.0,0.0,0.0
CPU001,T0039,0.0,100.0,0.0,0.0,0.0
CPU001,T0040,0.0,100.0,0.0,0.0,0.0
CPU001,T0041,0.0,100.0,0.0,0.0,0.0
CPU001,T0042,0.0,100.0,0.0,0.0,0.0
