Linux 5.10.198 (ubuntu2004) 	04/16/2026 	_aarch64_	(4 CPU)

06:33:38 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:39 PM        lo      2.00      2.00      0.16      0.16      0.00      0.00      0.00      0.00
06:33:39 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:39 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:39 PM      eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:39 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:39 PM      eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:39 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:39 PM      eth4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:39 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:39 PM     wlan0     12.00     16.00      0.58      2.14      0.00      0.00      0.00      0.00

06:33:39 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:40 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:40 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:40 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:40 PM      eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:40 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:40 PM      eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:40 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:40 PM      eth4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:40 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:40 PM     wlan0      3.96      0.00      0.16      0.00      0.00      0.00      0.00      0.00

06:33:40 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:41 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:41 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:41 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:41 PM      eth0      1.00      0.00      0.06      0.00      0.00      0.00      0.00      0.00
06:33:41 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:41 PM      eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:41 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:41 PM      eth4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:41 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:41 PM     wlan0      5.00      0.00      0.98      0.00      0.00      0.00      0.00      0.00

06:33:41 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:42 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:42 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:42 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:42 PM      eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:42 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:42 PM      eth2  42652.00     11.00  58493.30      0.69      0.00      0.00      0.00     47.92
06:33:42 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:42 PM      eth4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:42 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:42 PM     wlan0      4.00      0.00      0.21      0.00      0.00      0.00      0.00      0.00

06:33:42 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:43 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:43 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:43 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:43 PM      eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:43 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:43 PM      eth2  68830.00    613.00  94416.97     38.31      0.00      0.00      0.00     77.35
06:33:43 PM      eth3     10.00     10.00      0.80      0.63      0.00      0.00      0.00      0.00
06:33:43 PM      eth4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:43 PM      eth5  24289.00     12.00  35418.04      0.80      0.00      0.00      0.00     29.01
06:33:43 PM     wlan0      6.00      1.00      0.27      0.04      0.00      0.00      0.00      0.00

06:33:43 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:44 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:44 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:44 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:44 PM      eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:44 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:44 PM      eth2  50803.00   1588.00  69688.20     99.25      0.00      0.00      0.00     57.09
06:33:44 PM      eth3  67264.00      1.00  98922.56      0.06      0.00      0.00      0.00     81.04
06:33:44 PM      eth4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:44 PM      eth5  69014.00      0.00 100690.35      0.00      0.00      0.00      0.00     82.49
06:33:44 PM     wlan0      5.00      1.00      0.29      0.04      0.00      0.00      0.00      0.00

06:33:44 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:45 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:45 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:45 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:45 PM      eth0      1.00      0.00      0.33      0.00      0.00      0.00      0.00      0.00
06:33:45 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:45 PM      eth2  51274.00   1603.00  70334.62    100.19      0.00      0.00      0.00     57.62
06:33:45 PM      eth3  68411.00      0.00 100612.27      0.00      0.00      0.00      0.00     82.42
06:33:45 PM      eth4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:45 PM      eth5  69034.00      0.00 100719.53      0.00      0.00      0.00      0.00     82.51
06:33:45 PM     wlan0      2.00      0.00      0.09      0.00      0.00      0.00      0.00      0.00

06:33:45 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:46 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:46 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:46 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:46 PM      eth0      1.00      0.00      0.06      0.00      0.00      0.00      0.00      0.00
06:33:46 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:46 PM      eth2  51165.00   1598.00  70184.99     99.88      0.00      0.00      0.00     57.50
06:33:46 PM      eth3  68099.00      0.00 100153.41      0.00      0.00      0.00      0.00     82.05
06:33:46 PM      eth4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:46 PM      eth5  69005.00      0.00 100677.22      0.00      0.00      0.00      0.00     82.47
06:33:46 PM     wlan0      5.00      0.00      0.95      0.00      0.00      0.00      0.00      0.00

